EXTERNAL_COURSE_KEY|EXTERNAL_PERSON_KEY|ROLE|AVAILABLE_IND|ROW_STATUS
CVCC.20826.202320|A01735083|Student|Y|enabled
CVCC.20826.202320|A02356541|P|Y|enabled
CVCC.20826.202320|A02358879|Student|Y|enabled
CVCC.20826.202320|A02322870|Student|Y|enabled
CVCC.20826.202320|A01773771|Student|Y|enabled
CVCC.20826.202320|A02280387|Student|Y|enabled
CVCC.20826.202320|A01789850|Student|Y|enabled
CVCC.20826.202320|A01768019|Student|Y|enabled
CVCC.20826.202320|A02319024|Student|Y|enabled
CVCC.20827.202320|A02247926|Student|N|disabled
CVCC.20827.202320|A02391460|Student|N|disabled
CVCC.20827.202320|A02247918|Student|N|disabled
CVCC.20827.202320|A02294568|Student|N|disabled
CVCC.20827.202320|A01743510|Student|Y|enabled
CVCC.20827.202320|A02275308|Student|Y|enabled
CVCC.20827.202320|A02336457|Student|Y|enabled
CVCC.20827.202320|A02345006|Student|Y|enabled
CVCC.20827.202320|A02345011|Student|Y|enabled
CVCC.20827.202320|A02345673|Student|Y|enabled
CVCC.20827.202320|A02346247|Student|Y|enabled
CVCC.20827.202320|A02399629|Student|Y|enabled
CVCC.20827.202320|A02406749|Student|Y|enabled
CVCC.20827.202320|A02423925|Student|Y|enabled
CVCC.20827.202320|A02431439|Student|Y|enabled
CVCC.20827.202320|A02268897|Student|N|disabled
CVCC.20827.202320|A02238384|Student|N|disabled
CVCC.20827.202320|A02430957|Student|N|disabled
CVCC.20827.202320|A02409706|Student|N|disabled
CVCC.20827.202320|A02025819|Student|N|disabled
CVCC.20827.202320|A01788090|Student|N|disabled
CVCC.20827.202320|A02443562|Student|N|disabled
CVCC.20827.202320|A02311593|Student|N|disabled
CVCC.20827.202320|A02435191|Student|Y|enabled
CVCC.20827.202320|A01735686|P|Y|enabled
CVCC.20828.202320|A01788022|P|Y|enabled
CVCC.20828.202320|A01740790|Student|N|disabled
CVCC.20828.202320|A02228426|Student|N|disabled
CVCC.20828.202320|A02337801|Student|N|disabled
CVCC.20828.202320|A02345006|Student|N|disabled
CVCC.20828.202320|A02401551|Student|N|disabled
CVCC.20828.202320|A02247918|Student|N|disabled
CVCC.20828.202320|A02345673|Student|N|disabled
CVCC.20828.202320|A02380405|Student|N|disabled
CVCC.20828.202320|A02347717|Student|N|disabled
CVCC.20828.202320|A02025819|Student|N|disabled
CVCC.20828.202320|A01287527|Student|Y|enabled
CVCC.20828.202320|A01391579|Student|Y|enabled
CVCC.20828.202320|A01740873|Student|Y|enabled
CVCC.20828.202320|A01748453|Student|Y|enabled
CVCC.20828.202320|A02257208|Student|Y|enabled
CVCC.20828.202320|A02280376|Student|Y|enabled
CVCC.20828.202320|A02345655|Student|Y|enabled
CVCC.20828.202320|A02345683|Student|Y|enabled
CVCC.20828.202320|A02380505|Student|Y|enabled
CVCC.20828.202320|A02385888|Student|Y|enabled
CVCC.20828.202320|A02396012|Student|Y|enabled
CVCC.20828.202320|A02396691|Student|Y|enabled
CVCC.20828.202320|A02409549|Student|Y|enabled
CVCC.20829.202320|A01383591|Student|Y|enabled
CVCC.20829.202320|A02358086|Student|N|disabled
CVCC.20829.202320|A01768337|Student|Y|enabled
CVCC.20829.202320|A02238384|Student|Y|enabled
CVCC.20829.202320|A02247918|Student|Y|enabled
